product_desc	form_desc	dosage	dosage_add	volume	packsize	claatc	pfc	molecule	cd_nfc_3	english	lb_nfc_3	descr_pck	strg_unit	strg_meas
CELESTENE	CPR DISP SEC	2MG	NULL	NULL	20	H02A2	1777202	BETAMETHASONE	AAK	Oral Solid Immediate	CPR SOLUBLE OR.SOL.INST.	CPR DISP SEC 2MG 20	2	MG
BUFLOMEDIL MYLAN	CPR PELLIC	300MG	NULL	NULL	10	C04A1	1794106	BUFLOMEDIL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 300MG 10	300	MG
DEXERYL	CREME	NULL	NULL	50G	1	D02A0	1794901	GLYCEROL+PARAFFIN OIL	MTA	External Form	CREME         A USA.EXT.	CREME 50G	NULL	NULL
UNICORDIUM	CPR PELLIC	100MG	NULL	NULL	28	C08A0	1807801	BEPRIDIL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 100MG 28	100	MG
FENOFIBRATE MYLAN	GELULE	200MG	NULL	NULL	30	C10A2	1836105	FENOFIBRATE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 200MG 30	200	MG
TRIMEBUTINE BIOG.	CPR	100MG	NULL	NULL	20	A03F0	1925401	TRIMEBUTINE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 100MG 20	100	MG
SPASSIREX GE	CPR	80MG	NULL	NULL	10	A03A0	1973701	PHLOROGLUCINOL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 80MG 10	80	MG
PRITOR	CPR	80MG	NULL	NULL	28	C09C0	2076103	TELMISARTAN	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 80MG 28	80	MG
MELODIA	CPR PELLIC	NULL	NULL	NULL	84	G03A1	2079702	ETHINYLESTRADIOL+GESTODENE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 84	NULL	NULL
CARBOCISTEINE RPG	SOL SS SUCRE	5%	ADLT	125ML	1	R05C0	1424805	CARBOCISTEINE	DGA	Oral Liquid Immediate	LIQUIDE     OR.LIQ.INST.	SOL SS SUCRE 5% ADLT 125ML	5	%
COMBIDERM	TTES TAILLES	NULL	NULL	NULL	1	V99C0	1476007	MEDICATED DRESSINGS	MZK	External Form	PANS COLLOID. A USA.EXT.	TTES TAILLES	NULL	NULL
BRONCHOKOD GE	SP	5%	ADLT	300ML	1	R05C0	1486563	CARBOCISTEINE	DGM	Oral Liquid Immediate	SIROP       OR.LIQ.INST.	SP 5% AD 300ML	5	%
OSTRAM VIT D3	SAC. PDR	NULL	NULL	4.1G	30	A12A0	2123101	COLECALCIFEROL+CALCIUM	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	SAC. PDR 1200MG/800IU 30 4.1G	NULL	NULL
CEBEMYXINE	COLLY LYO+S.	NULL	NULL	10ML	1	S01A0	1756640	NEOMYCIN+POLYMYXIN B	NGJ	Ophthalmological	GOUTTE LYOPH   OPHTALMO.	COLLY LYO+S 10ML	NULL	NULL
CORDARONE	CPR SEC	200MG	NULL	NULL	30	C01B0	2251830	AMIODARONE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 200MG 30	200	MG
CORGARD	CPR SEC	80MG	NULL	NULL	28	C07A0	2254302	NADOLOL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 80MG 28	80	MG
REVAXIS	SER.PRE+AIGU	NULL	NULL	0.5ML	1	J07B1	2309001	"VACCINE, DIP.TET.& POLIO."	FND	Parenteral Immediate	SER PRE I.M.PARENT.INST.	SER.PRE+2AIGU .5ML	NULL	NULL
NATISPRAY	FL PRES 200D	0.15MG	NULL	13.5ML	1	C01E0	5709135	NITROGLYCERIN	DHP	Oral Liquid Immediate	AERO DOSE   OR.LIQ.INST.	FL PRES 200D .15MG/DOS 13.5ML	0.15	MG
BECOTIDE	AER BUC 100D	0.05MG	NULL	NULL	1	R03D1	1059720	BECLOMETASONE	RHP	Pulmonary	AEROSOL DOSE     PULMON.	AER BUC 100D .05MG/DOS	0.05	MG
OPTALIDON	DRG	NULL	NULL	NULL	25	N02B0	6190035	CAFFEINE+METAMIZOLE SODIUM	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	DRG 25	NULL	NULL
PADERYL	SP	0.1%	ADLT	150ML	1	R05D1	6338449	CODEINE+PAPAVERINE+CINNAMAVERINE+ATROPA BELLADONNA+HYOSCYAMUS NIGER+VISCUM ALBUM	DGM	Oral Liquid Immediate	SIROP       OR.LIQ.INST.	SP .1% ADLT 150ML	0.1	%
PEVARYL	EMULS FLUIDE	1%	NULL	30ML	1	D01A1	6680945	ECONAZOLE	MGL	External Form	EMULSION      A USA.EXT.	EMULS FLUIDE 1% 30ML	1	%
EUPANTOL	CP GASTRORES	40MG	NULL	NULL	14	A02B2	1257702	PANTOPRAZOLE	ABD	Oral Solid Immediate	CPR ENTERIQ.OR.SOL.INST.	CP GASTRORES 40MG 14	40	MG
PILOSURYL	SOL BUV	NULL	ADLT	250ML	1	C03A9	6789250	PILOSELLA OFFICINARUM+PHYLLANTHUS NIRURI	DGA	Oral Liquid Immediate	LIQUIDE     OR.LIQ.INST.	SOL BUV ADLT 250ML	NULL	NULL
AMOXICILLINE RPG	CPR DISPERS	1000MG	NULL	NULL	6	J01C1	1430914	AMOXICILLIN	AAK	Oral Solid Immediate	CPR SOLUBLE OR.SOL.INST.	CPR DISPERS 1000MG 6	1000	MG
BRISTAMOX GE	CPR SUSP BUV	1000MG	NULL	NULL	6	J01C1	1456602	AMOXICILLIN	AAK	Oral Solid Immediate	CPR SOLUBLE OR.SOL.INST.	CPR SUSP BUV 1000MG 6	1000	MG
PROPOFAN	CPR.	NULL	ADLT	NULL	30	N02B0	7073440	PARACETAMOL+CAFFEINE+DEXTROPROPOXYPHENE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR. 30	NULL	NULL
REVIA	CPR PELLIC	50MG	NULL	NULL	28	N07E0	1557601	NALTREXONE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 50MG 28	50	MG
RISORDAN	LP CPR	20MG	NULL	NULL	60	C01E0	7528468	ISOSORBIDE DINITRATE	BAA	Oral Solid Delayed	COMPRIME     OR.SOL.RET.	LP CPR 20MG 60	20	MG
RIVOTRIL	GTTES	0.25%	NULL	20ML	1	N03A0	7532650	CLONAZEPAM	DGB	Oral Liquid Immediate	GOUTTE      OR.LIQ.INST.	GTTES .25% 20ML	0.25	%
RANITIDINE RPG	CPR PELLIC	150MG	NULL	NULL	30	A02B1	1849101	RANITIDINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 150MG 30	150	MG
STILNOX	CPR PEL SEC	10MG	NULL	NULL	20	N05B1	8239730	ZOLPIDEM	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR SEC 10MG 20	10	MG
TINSET	CPR SEC	30MG	NULL	NULL	30	R06A0	8783203	OXATOMIDE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 30MG 30	30	MG
TITANOREINE	POM.	NULL	NULL	20G	1	C05A2	8794750	LIDOCAINE+TITANIUM+ZINC+CHONDRUS CRISPUS	MSA	External Form	ONGUENT       A USA.EXT.	POM. 20G	NULL	NULL
UTROGESTAN	CAPS	100MG	NULL	NULL	30	G03D0	9218230	PROGESTERONE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	CAPS 100MG 30	100	MG
VASELINE	POM.	NULL	NULL	15G	1	V03X0	9284660	NULL	MSA	External Form	ONGUENT       A USA.EXT.	POM. 15G	NULL	NULL
DENORAL	CPR.	NULL	NULL	NULL	20	R01B0	2537450	PHENYLPROPANOLAMINE+BUZEPIDE METHYLHYDROXIDE+CLOCINIZINE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR. 20	NULL	NULL
VEYBIROL TYRO.	SOL BAIN BCH	NULL	NULL	10ML	2	A01A2	9389050	FORMALDEHYDE+TYROTHRICIN+VEGETABLES EXTRACTS	KGA	Oral Topic	LIQUIDE ORAL TOPIQUE	SOL BAIN BCH 2 10ML	NULL	NULL
VIRLIX	CPR PEL SEC	10MG	NULL	NULL	15	R06A0	9434230	CETIRIZINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 10MG 15	10	MG
XATRAL	LP CPR PELLI	5MG	NULL	NULL	56	G04C2	9661803	ALFUZOSIN	BBC	Oral Solid Delayed	CPR PELLIC.  OR.SOL.RET.	LP CPR PELLI 5MG 56	5	MG
XATRAL	LP CPR	10MG	NULL	NULL	30	G04C2	9661804	ALFUZOSIN	BAA	Oral Solid Delayed	COMPRIME     OR.SOL.RET.	LP CPR 10MG 30	10	MG
ZOVIRAX	CPR.	200MG	NULL	NULL	25	J05B3	9679330	ACICLOVIR	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR. 200MG 25	200	MG
DOLIPRANE	SACH PDR	125MG	ENF	NULL	12	N02B0	2886065	PARACETAMOL	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	SACH PDR 125MG ENF 12	125	MG
DUPHALAC	PDR SOL BUV	10G	NULL	10G	20	A06A6	2982602	LACTULOSE	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	PDR SOL BUV 10G 20	10	G
CONTENTION	PRESCRIPTION	NULL	NULL	NULL	1	V99C0	9727650	NULL	VZY	Non Human Usage Products	AUTRE PARA.NON US.HUMAIN	PRESCRIPTION	NULL	NULL
COTON HYDROPHILE	BOITE	NULL	NULL	NULL	1	V99C0	9728250	COTTON WOOL	VZY	Non Human Usage Products	AUTRE PARA.NON US.HUMAIN	BOITE	NULL	NULL
ELASTOMOUSSE	BOITE	NULL	NULL	NULL	1	V99C0	9734750	BANDAGES	VZY	Non Human Usage Products	AUTRE PARA.NON US.HUMAIN	BOITE	NULL	NULL
FAZOL	EMULS FLUIDE	2%	NULL	30G	1	D01A1	3424802	ISOCONAZOLE	MGL	External Form	EMULSION      A USA.EXT.	EMULS FLUIDE 2% 30G	2	%
GLIBENESE	CPR SEC	5MG	NULL	NULL	20	A10H0	3817040	GLIPIZIDE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 5MG 20	5	MG
HALDOL	GTTES	0.2%	NULL	15ML	1	N05A9	4055049	HALOPERIDOL	DGB	Oral Liquid Immediate	GOUTTE      OR.LIQ.INST.	GTTES .2% 15ML	0.2	%
HEXOMEDINE	COLUT	NULL	NULL	30G	1	R02A0	4297210	TETRACAINE+HEXAMIDINE	KGC	Oral Topic	SPRAY SS GAZ ORAL TOPIQ	COLUT 30G (43ML)	NULL	NULL
RULID	CPR PELLIC	100MG	ENF	NULL	16	J01F0	7593508	ROXITHROMYCIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 100MG ENF 16	100	MG
SOUFRANE	SOL PULV NAS	2%	NULL	15ML	1	R01A7	8088450	2-THIOPHENECARBOXYLIC ACID	QGC	Rhinology Local	SPRAY SS GAZ  RHINOL.LOC	SOL PULV NAS 2% 15ML	2	%
PANOS GE	CPR PEL SEC	50MG	NULL	NULL	20	M03B0	1553701	TETRAZEPAM	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 50MG 20	50	MG
GYNO DAKTARIN	CAPS MOL.VAG	400MG	NULL	NULL	3	G01B0	4031965	MICONAZOLE	TCA	Vaginal	CAPSULE         VAGINALE	CAPS MOLLE VAGINALE 400MG 3	400	MG
BETNEVAL	CPR A SUCER	0.1MG	NULL	NULL	50	A01A3	1152823	BETAMETHASONE	KAE	Oral Topic	CPR BUCCAL ORAL TOPIQUE	CPR A SUCER 0.1MG 50	0.1	MG
GLUCOR	CPR	50MG	NULL	NULL	90	A10L0	1158902	ACARBOSE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 50MG 90	50	MG
OESTRODOSE	GEL FL 64D	0.06%	NULL	80G	1	G03C0	1171302	ESTRADIOL	JVP	Other Internal Form	AUT GELS/SOLS SYS DOSES	GEL FL 64D .06% 80G	0.06	%
EDIREL	GELULE	300MG	NULL	NULL	20	R05C0	1179803	ERDOSTEINE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 300MG 20	300	MG
METHADONE AP HP	SP UNIDOSE	40MG	NULL	15ML	1	N02A0	1180005	METHADONE	DGN	Oral Liquid Immediate	SOLUT.UNID. OR.LIQ.INST.	SP UNIDOSE 40MG 15ML	40	MG
INIPOMP	CP GASTRORES	40MG	NULL	NULL	7	A02B2	1182705	PANTOPRAZOLE	ABD	Oral Solid Immediate	CPR ENTERIQ.OR.SOL.INST.	CP GASTRORES 40MG 7	40	MG
VECTRINE	GELULE	300MG	NULL	NULL	20	R05C0	1192102	ERDOSTEINE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 300MG 20	300	MG
SEROPRAM	CPR PEL SEC	20MG	NULL	NULL	28	N06A4	1221602	CITALOPRAM	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 20MG 28	20	MG
FORADIL	GELU PDR INH	0.012MG	NULL	NULL	30	R03A3	1258002	FORMOTEROL	RCT	Pulmonary	CAPS INHAL.      PULMON.	GELU PDR INH .012MG 30	0.012	MG
SUBUTEX	CPR SUBLING	8MG	NULL	NULL	7	N07F0	1258106	BUPRENORPHINE	AAF	Oral Solid Immediate	CPR SUBLING OR.SOL.INST.	CPR SUBLING 8MG 7	8	MG
VEINOPRESS	BDE	NULL	NULL	NULL	1	V99C0	1265702	NULL	MZG	External Form	BANDAGE S SUB.A USA.EXT.	BDE	NULL	NULL
ATENOLOL DCI	CPR	50MG	NULL	NULL	28	C07A0	1369103	ATENOLOL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 50MG 28	50	MG
SPIRONOLACTONE RPG	CPR	50MG	NULL	NULL	30	C03A1	1423405	SPIRONOLACTONE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 50MG 30	50	MG
PARACETAMOL RPG	GELULE	500MG	NULL	NULL	16	N02B0	1425905	PARACETAMOL	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 500MG 16	500	MG
BRISTAMOX GE	PDR PR SP	250MG	NULL	60ML	1	J01C1	1456665	AMOXICILLIN	DGJ	Oral Liquid Immediate	SIROP SEC   OR.LIQ.INST.	PDR PR SP 250MG/5ML 60ML	250	MG
FENOFIBRATE DCI	GELULE	100MG	NULL	NULL	30	C10A2	1467601	FENOFIBRATE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 100MG 30	100	MG
BRONCHODUAL	AERO 200 DOS	NULL	NULL	10ML	1	R03G4	1484802	FENOTEROL+IPRATROPIUM BROMIDE	RHP	Pulmonary	AEROSOL DOSE     PULMON.	AERO 200 DOS 10ML	NULL	NULL
DILTIAZEM IVAX	LP GELULES	300MG	NULL	NULL	28	C08A0	1557907	DILTIAZEM	BCA	Oral Solid Delayed	CAPSULES     OR.SOL.RET.	LP GELULES 300MG 28	300	MG
ACCU CHEK SOFTCLIX	LANCETTES	NULL	NULL	NULL	200	V99B0	1558401	NULL	VZY	Non Human Usage Products	AUTRE PARA.NON US.HUMAIN	LANCETTES 200	NULL	NULL
LOPERAMIDE TEVA	GELULE	2MG	NULL	NULL	20	A07H0	1649901	LOPERAMIDE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 2MG 20	2	MG
FENOFIBRATE GNR	GELULE	300MG	NULL	NULL	30	C10A2	1651103	FENOFIBRATE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 300MG 30	300	MG
TAHOR	CPR PELLIC	40MG	NULL	NULL	28	C10A1	1709502	ATORVASTATIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 40MG 28	40	MG
EFFEXOR	CPR	50MG	NULL	NULL	30	N06A5	1710303	VENLAFAXINE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 50MG 30	50	MG
CATAPRESSAN	CPR SEC	0.15MG	NULL	NULL	20	C02A1	1748550	CLONIDINE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC .15MG 20	0.15	MG
CEBUTID	LP GELULES	200MG	NULL	NULL	16	M01A1	1759004	FLURBIPROFEN	BCA	Oral Solid Delayed	CAPSULES     OR.SOL.RET.	LP GELULES 200MG 16	200	MG
NISISCO	CPR 80/12.5	NULL	NULL	NULL	28	C09D1	1772801	HYDROCHLOROTHIAZIDE+VALSARTAN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR 80MG/12.5MG 28	NULL	NULL
CELESTENE	AMP + SER	8MG	NULL	2ML	1	H02A1	1777227	BETAMETHASONE	FMA	Parenteral Immediate	AMP         PARENT.INST.	AMP + SER IM IV 8MG/2ML 2ML	8	MG
ASPIRINE 325 UPSA	GELULE	325MG	NULL	NULL	28	B01C1	1940705	ACETYLSALICYLIC ACID	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 325MG 28	325	MG
MUPIDERM	POM.	0.2%	NULL	15G	1	D06A0	1962901	MUPIROCIN	MSA	External Form	ONGUENT       A USA.EXT.	POM. .2% 15G	0.2	%
CIBLOR	S.PDR 1G/125	NULL	NULL	1.57G	8	J01C1	1968116	CLAVULANIC ACID+AMOXICILLIN	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	S.PDR 1G/125 8 1.57G	NULL	NULL
TARKA LP	LP GELULES	NULL	NULL	NULL	28	C09B3	1988002	VERAPAMIL+TRANDOLAPRIL	BCA	Oral Solid Delayed	CAPSULES     OR.SOL.RET.	LP GELULES 28	NULL	NULL
CLAMOXYL	CPR DISPERS	1000MG	NULL	NULL	14	J01C1	2012513	AMOXICILLIN	AAK	Oral Solid Immediate	CPR SOLUBLE OR.SOL.INST.	CPR DISPERS 1000MG 14	1000	MG
NABUCOX	CPR DISPERS	1000MG	NULL	NULL	14	M01A1	2100501	NABUMETONE	AAK	Oral Solid Immediate	CPR SOLUBLE OR.SOL.INST.	CPR DISPERS 1000MG 14	1000	MG
ZITHROMAX	GELULE	250MG	NULL	NULL	6	J01F0	1054303	AZITHROMYCIN	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 250MG 6	250	MG
TRINIPATCH	DISP10MG/24H	44.8MG	NULL	NULL	30	C01E0	1159104	NITROGLYCERIN	JWN	Other Internal Form	PANS.TRANSDERM.USA.INT.	DISP10MG/24H 44.8MG 30	44.8	MG
CYCLOTERIAM	CPR SEC	NULL	NULL	NULL	30	C03A5	2405025	TRIAMTERENE+CYCLOTHIAZIDE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 30	NULL	NULL
DAKIN STAB COOPER	SOL LOC	0.5%	NULL	60ML	1	D08A0	2437205	HYPOCHLOROUS ACID	MGA	External Form	LIQUIDE       A USA.EXT.	SOL LOC .5% 60ML	0.5	%
CARBOCISTEINE EGN	SP	2%	ENF	125ML	1	R05C0	2423902	CARBOCISTEINE	DGM	Oral Liquid Immediate	SIROP       OR.LIQ.INST.	SP 2% ENF 125ML	2	%
DACRYOSERUM	SOL OC.UNID	NULL	NULL	5ML	20	S01G6	2432404	BORIC ACID	NGN	Ophthalmological	SOLUT.UNIDOSE  OPHTALMO.	SOL OC.UNID 20 5ML	NULL	NULL
DEPAKINE	SOL BUV	200MG	NULL	40ML	1	N03A0	2538450	VALPROIC ACID	DGA	Oral Liquid Immediate	LIQUIDE     OR.LIQ.INST.	SOL BUV 200MG/ML 40ML	200	MG
LAMISIL CREME	CREME	1%	NULL	15G	1	D01A1	2572005	TERBINAFINE	MTA	External Form	CREME         A USA.EXT.	CREME 1% 15G	1	%
DERMOVAL	CREME	0.05%	NULL	10G	1	D07A0	2578360	CLOBETASOL	MTA	External Form	CREME         A USA.EXT.	CREME .05% 10G	0.05	%
EFFERALGAN VIT C	C.EFF330/200	NULL	NULL	NULL	20	N02B0	3029820	ASCORBIC ACID+PARACETAMOL	AAH	Oral Solid Immediate	CPR EFFERV. OR.SOL.INST.	C.EFF330/200 20	NULL	NULL
ELISOR	CPR SEC	20MG	NULL	NULL	28	C10A1	3059803	PRAVASTATIN	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 20MG 28	20	MG
FUCIDINE	POM.	2%	NULL	15G	1	D06A0	3625260	FUSIDIC ACID	MSA	External Form	ONGUENT       A USA.EXT.	POM. 2% 15G	2	%
GELOX	SUSP SACH	NULL	NULL	15.8G	30	A02A4	3763160	ALUMINIUM+MAGNESIUM+MONTMORILLONITE	DGN	Oral Liquid Immediate	SOLUT.UNID. OR.LIQ.INST.	SUSP SACH 30 15.8G	NULL	NULL
I R S 19	NEBUL 60D	NULL	NULL	20ML	1	J07X0	4659850	STREPTOCOCCUS PNEUMONIAE+GAFFKYA TETRAGENA+KLEBSIELLA PNEUMONIAE+MICROCOCCUS PYOGENES+MORAXELLA+NEISSERIA CATARRHALIS+STREPTOCOCCUS+HAEMOPHILUS INFLUENZA	IGP	Rhinology Systemic	SOLUT-DOSE RHINOL SYSTEM.	NEBUL 60D 20ML	NULL	NULL
DOLIPRANE	SUP NOUR	100MG	NULL	NULL	10	N02B0	2886011	PARACETAMOL	HLC	Rectal Systemic	SUPPO ENF V.RECTALE SYST.	SUP NOUR 100MG 10	100	MG
DOLIPRANE	SUP ENF	300MG	NULL	NULL	10	N02B0	2886015	PARACETAMOL	HLC	Rectal Systemic	SUPPO ENF V.RECTALE SYST.	SUP ENF 300MG 10	300	MG
MOTILIUM	CPR PELLIC	10MG	NULL	NULL	40	A03F0	5566730	DOMPERIDONE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 10MG 40	10	MG
DUPHALAC	SOL.	66.5%	NULL	200ML	1	A06A6	2982645	LACTULOSE	DGA	Oral Liquid Immediate	LIQUIDE     OR.LIQ.INST.	SOL. 66.5% 200ML	66.5	%
ORACEFAL	PDR PR SUSP	250MG	NULL	60ML	1	J01D1	6205465	CEFADROXIL	DGJ	Oral Liquid Immediate	SIROP SEC   OR.LIQ.INST.	PDR PR SUSP 250MG/5ML 60ML	250	MG
PIASCLEDINE	GELULE	300MG	NULL	NULL	15	M05X0	6785720	PERSEA GRATISSIMA+GLYCINE MAX	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 300MG 15	300	MG
EFFICORT	CREME LIPOPH	0.127%	NULL	30G	1	D07A0	3031004	HYDROCORTISONE	MTA	External Form	CREME         A USA.EXT.	CREME LIPOPH .127% 30G	0.127	%
PRIMALAN	CPR SEC	10MG	NULL	NULL	14	R06A0	6971903	MEQUITAZINE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 10MG 14	10	MG
ENGERIX B	SER PRER. IM	0.01MG	ENF	0.5ML	1	J07E4	3098002	"VACCINE, HEPATITIS B SURFACE ANTIGEN"	FND	Parenteral Immediate	SER PRE I.M.PARENT.INST.	SER PRER. IM .01MG ENF .5ML	0.01	MG
RODOGYL	CPR PELLIC	NULL	NULL	NULL	20	J01F0	7546630	METRONIDAZOLE+SPIRAMYCIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 20	NULL	NULL
SILOMAT	CPR	40MG	NULL	NULL	30	R05D1	7910620	CLOBUTINOL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR 40MG 30	40	MG
SPASFON	CPR ENROB	NULL	NULL	NULL	30	A03A0	8110849	TRIMETHOXYBENZENE+PHLOROGLUCINOL	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	CPR ENROB 30	NULL	NULL
EXTRANASE	CPR	900IU	NULL	NULL	80	V03H0	3406865	BROMELAINS	ABD	Oral Solid Immediate	CPR ENTERIQ.OR.SOL.INST.	CPR 900IU 80	900	IU
FONGAMIL	CREME DERM	1%	NULL	15G	1	D01A1	3571802	OMOCONAZOLE	MTA	External Form	CREME         A USA.EXT.	CREME DERM 1% 15G	1	%
URION	CPR PELLIC	2.5MG	NULL	NULL	30	G04C2	9203503	ALFUZOSIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 2.5MG 30	2.5	MG
FUCIDINE	SUSP BUV	250MG	ENF	90ML	1	J01X9	3625203	FUSIDIC ACID	DGK	Oral Liquid Immediate	SUSPENSION  OR.LIQ.INST.	SUSP BUV 250MG/5ML ENF 90ML	250	MG
GIVALEX	BAIN BOUCHE	NULL	NULL	125ML	1	A01A2	3809860	CHLOROBUTANOL+SALICYLIC ACID+HEXETIDINE	KGA	Oral Topic	LIQUIDE ORAL TOPIQUE	SOL BAIN BOUCHE 125ML	NULL	NULL
GRANIONS CUIVRE	A.BUV	0.3MG	NULL	2ML	10	A12C2	3984018	COPPER	DGN	Oral Liquid Immediate	SOLUT.UNID. OR.LIQ.INST.	A.BUV 0.3MG 10 2ML	0.3	MG
HEPANEPHROL	A.BUV	NULL	NULL	10ML	20	C03A9	4178250	CYNARA SCOLYMUS+BIOFLAVONOIDS	DGN	Oral Liquid Immediate	SOLUT.UNID. OR.LIQ.INST.	A.BUV 20 10ML	NULL	NULL
ZINNAT	GRAN PR SUSP	125MG	NULL	40ML	1	J01D1	9677903	CEFUROXIME AXETIL	DGJ	Oral Liquid Immediate	SIROP SEC   OR.LIQ.INST.	GRAN PR SUSP 125MG/5ML 40ML	125	MG
HEXOMEDINE	FL PRESSUR	0.1%	NULL	75ML	1	D08A0	4297204	HEXAMIDINE	MHA	External Form	AEROSOL       A USA.EXT.	FL PRESSUR .1% 75ML	0.1	%
HOMEOPLASMINE	POM.	NULL	NULL	18G	1	D11A0	4334960	BORIC ACID+BRYONIA ALBA+CALENDULA OFFICINALIS+PHYTOLACCA+SIAM BENZOIN	MSA	External Form	ONGUENT       A USA.EXT.	POM. PM 18G+CANULE	NULL	NULL
IMOVANE	CPR PEL SEC	7.5MG	NULL	NULL	14	N05B1	4511802	ZOPICLONE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 7.5MG 14	7.5	MG
NORMACOL BOURDAINE	GRAN SACH	NULL	NULL	10G	30	A06A3	5997250	FRANGULA ALNUS+STERCULIA GUM	AEP	Oral Solid Immediate	PDR DOSE    OR.SOL.INST.	GRAN SACH 30 10G	NULL	NULL
URISPAS	CPR PELLIC	200MG	NULL	NULL	42	G04D4	1057103	FLAVOXATE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 200MG 42	200	MG
TRANSIPEG	PDR SOL BUV	2950MG	NULL	3.45G	30	A06A7	1057403	MACROGOL(S)	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	PDR SOL BUV 2950MG 30 3.45G	2950	MG
BECOTIDE 250	AER BUC 200D	0.25MG	NULL	NULL	1	R03D1	1059802	BECLOMETASONE	RHP	Pulmonary	AEROSOL DOSE     PULMON.	AER BUC 200D .25MG /DOS	0.25	MG
IMIGRANE	CPR PELLIC	50MG	NULL	NULL	2	N02C1	1065608	SUMATRIPTAN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 50MG 2	50	MG
